userId,total_prompts,modes_used,mode_sequence,mode_names,mode_switches,mode_entropy
574a8d9990e8493287c906ad9d943125,19,3,"[1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 2]","['Balanced', 'Energy Efficient', 'Balanced', 'Balanced', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Performance', 'Performance']",6,1.3779630390761746
57d3c344f9064581b9a4cf65dded0fce,35,3,"[1, 0, 0, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2]","['Balanced', 'Energy Efficient', 'Energy Efficient', 'Balanced', 'Balanced', 'Balanced', 'Energy Efficient', 'Energy Efficient', 'Balanced', 'Performance', 'Energy Efficient', 'Balanced', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Balanced', 'Performance']",10,1.0189139562000626
5ad89397a2ca40348550c3a20d0b2580,28,2,"[2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]","['Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient']",3,0.996316519558962
90d6086d99f54dbaa068194917cd7aa7,7,2,"[1, 0, 0, 0, 1, 1, 0]","['Balanced', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Balanced', 'Balanced', 'Energy Efficient']",3,0.9852281360342515
9250399f97714bbc9cf82b2e39c83b3a,30,3,"[1, 1, 1, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0]","['Balanced', 'Balanced', 'Balanced', 'Performance', 'Performance', 'Balanced', 'Performance', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Performance', 'Performance', 'Performance', 'Performance', 'Energy Efficient', 'Energy Efficient']",7,1.5410078709714834
a31b03cff7ce4570a611100887b0c69f,28,3,"[1, 1, 1, 1, 2, 2, 2, 0, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Balanced', 'Balanced', 'Balanced', 'Balanced', 'Performance', 'Performance', 'Performance', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Performance', 'Performance', 'Balanced', 'Balanced', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient']",5,1.3571305013426214
bf0bc8a3dade408a906a467797eb0563,7,1,"[1, 1, 1, 1, 1, 1, 1]","['Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced']",0,-0.0
c2b2a951774a41c283448dcc9bec891e,53,3,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 0, 2, 2, 2]","['Balanced', 'Balanced', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Energy Efficient', 'Balanced', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Performance', 'Performance', 'Performance', 'Performance', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Balanced', 'Performance', 'Performance', 'Energy Efficient', 'Performance', 'Performance', 'Performance']",11,1.2991970099525205
de3e3163a6e04819a87f34df897f78aa,66,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Balanced', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient', 'Energy Efficient']",1,0.11327430349709672
e6c6fdc37f5247779986718dd20d086e,10,2,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['Balanced', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance', 'Performance']",1,0.4689955935892812
